ID,Survey Type,Gender,Age,English,Education,Jacob was 27th in line at the airport. He was also 27th from the back of the line. How many people were in line?,Gertrude is taller than Janelle. Nancy is taller than Gertrude. Who is the tallest?,Cup is to coffee as bowl is to ,"From the following two statements, which conclusion is absolutely true?   None of the gardeners are tennis players.   All writers are gardeners.",Which of the following values is NOT equal to 11*(7-1)?,"Is the phrase, “Madam, I’m Adam,” spelled the same written forward as backward?",Which of these numbers is not like the others?,How many of the five pairs listed below are duplicates? Enter a numerical value only.      Suspicious AND Spacious;      Conspicuous AND Conspicuous;          Malicious AND Malicious;    Gray AND Grey;      Hummingbird AND Humningbird," Ernie had $10 in cash, with which he purchased gum for $1.29, a candy bar for $1.49 and a beverage for $2.39. If he does not have to pay sales tax, how much cash remains? ",Three painters can paint three walls in three minutes. How many painters are needed to paint 27 walls in nine minutes?,Duration,Opened (UTC),Finished (UTC),Overtime (s),Unfocused,Treatment ,Score
1,a,Male,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,1,$4.83 ,9,4,11/20/19 1:45,11/20/19 1:49,2,2,1,9
2,a,Male,27,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.83 ,9,4,11/20/19 1:54,11/20/19 1:58,3,3,1,9
3,a,Male,27,No,Graduate degree and above,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,1,$4.83 ,9,4,11/20/19 1:54,11/20/19 1:58,3,3,1,9
4,a,Female,25,No,Graduate degree and above,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,15,4,11/20/19 1:56,11/20/19 2:00,0,0,1,7
5,d,Male,24,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/21/19 1:55,11/21/19 2:01,70,0,0,9
6,d,Female,30,No,Graduate degree and above,54,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,4,3,$4.83 ,9,4,11/21/19 2:21,11/21/19 2:27,131,0,0,6
7,f,Female,27,No,Graduate degree and above,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,"2,3",$4.83 ,9,8,11/21/19 2:20,11/21/19 2:29,25,0,0,8
8,b,Male,24,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,N/A,$5.17 ,3,6,11/21/19 2:28,11/21/19 2:34,0,2,1,7
9,b,Female,26,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 2:33,11/21/19 2:37,0,0,1,10
10,e,Female,27,No,Undergraduate degree,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 2:38,11/21/19 2:44,4,0,0,9
11,e,Male,26,No,Graduate degree and above,53,Nancy,Soup,"Writers are not tennis players., Some writers are not gardeners.",3 * 22,Yes,11,2,$5.83 ,9,6,11/21/19 2:42,11/21/19 2:45,0,0,0,6
12,b,Male,25,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 2:41,11/21/19 2:47,14,0,1,10
13,f,Male,28,No,Graduate degree and above,53,Nancy,Soup,Some writers are not gardeners.,5+1*(22-10),No,4,2,$4.83 ,9,8,11/21/19 2:44,11/21/19 2:49,0,0,0,8
14,e,Male,24,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,6,11/21/19 2:45,11/21/19 2:50,0,0,0,9
15,d,Female,23,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/21/19 2:50,11/21/19 2:56,128,0,0,9
16,c,Female,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/21/19 2:55,11/21/19 2:59,0,0,1,10
17,e,Male,25,No,Graduate degree and above,53,Nancy,Soup,"Some gardeners are tennis players., Writers are not tennis players.",5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 2:53,11/21/19 2:59,0,2,0,9
18,f,Female,23,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/21/19 2:55,11/21/19 3:00,0,0,0,10
19,d,Female,26,Yes,Graduate degree and above,54,Gertrude,Soup,Some gardeners are tennis players.,3 * 22,No,4,Don't know,$4.83 ,3,4,11/21/19 2:57,11/21/19 3:02,49,0,0,3
20,e,Female,25,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 2:55,11/21/19 3:02,56,0,0,10
21,e,Male,23,No,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,4,2,$5.17 ,9,6,11/21/19 2:55,11/21/19 3:04,198,0,0,7
22,d,Female,22,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,No,4,Malicious AND Malicious,$4.83 ,9,4,11/21/19 2:48,11/21/19 3:05,774,2,0,7
23,d,Male,19,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,4,11/21/19 3:00,11/21/19 3:06,104,0,0,9
24,d,Female,24,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/21/19 3:03,11/21/19 3:07,7,0,0,9
25,f,Female,24,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/21/19 3:04,11/21/19 3:11,0,0,0,10
26,e,Female,25,Yes,Undergraduate degree,53,Nancy,Soup,Some gardeners are tennis players.,5+1*(22-10),No,4,3,$4.83 ,3,6,11/21/19 3:10,11/21/19 3:13,0,2,0,6
27,e,Male,25,No,Undergraduate degree,55,Nancy,food,Writers are not tennis players.,(6+5)*6,Yes,11,3,$4.83 ,9,6,11/21/19 3:14,11/21/19 3:19,0,0,0,5
28,b,Male,30,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,3,$5.83 ,9,6,11/21/19 3:18,11/21/19 3:21,0,0,1,7
29,b,Male,28,No,High School and below,27,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,4,3,$4.83 ,9,6,11/21/19 3:21,11/21/19 3:27,17,4,1,6
30,c,Female,28,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,15,8,11/21/19 3:20,11/21/19 3:28,0,0,1,9
31,d,Male,26,Yes,Undergraduate degree,27,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,11/21/19 3:22,11/21/19 3:28,108,0,0,9
32,e,Female,24,Yes,Undergraduate degree,54,Nancy,Soup,Some gardeners are tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,6,11/21/19 3:24,11/21/19 3:29,0,0,0,7
33,b,Male,23,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,6,11/21/19 3:29,11/21/19 3:33,0,0,1,9
34,d,Male,23,No,Graduate degree and above,54,Nancy,Soup,Writers are not tennis players.,1084 - 1018,Yes,4,2,$5.83 ,9,4,11/21/19 3:28,11/21/19 3:34,142,2,0,7
35,b,Male,26,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,Don’t know,3,6,11/21/19 3:33,11/21/19 3:38,0,0,1,7
36,a,Female,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,11,2,$5.17 ,15,4,11/21/19 3:33,11/21/19 3:38,56,0,1,6
37,d,Female,27,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,11/21/19 3:33,11/21/19 3:39,64,0,0,10
38,a,Female,19,No,Graduate degree and above,53,Nancy,Soup,Some writers are not gardeners.,5+1*(22-10),No,4,2,$4.83 ,3,4,11/21/19 3:37,11/21/19 3:40,0,0,1,7
39,d,Male,25,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,11/21/19 3:39,11/21/19 3:45,116,0,0,10
40,e,Female,26,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,(6+5)*6,Yes,4,2,$4.83 ,9,6,11/21/19 3:34,11/21/19 3:46,389,0,0,9
41,c,Female,27,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,8,11/21/19 3:53,11/21/19 3:57,0,0,1,9
42,a,Female,24,No,Undergraduate degree,53,Nancy,Soup,"Some gardeners are tennis players., Some writers are not gardeners.",1084 - 1018,Yes,11,1,Don’t know,3,4,11/21/19 3:55,11/21/19 3:59,11,0,1,4
43,d,Female,23,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,4,11/21/19 3:58,11/21/19 4:01,0,0,0,9
44,f,Female,19,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,11/21/19 3:48,11/21/19 4:02,328,0,0,9
